vehicle_id,title,description,availability,state_of_vehicle,price,url,image,make,model,year,body_style,mileage.unit,mileage.value,address.addr1,address.city,address.region,address.postal_code,address.country
R1001262,2024 Extreme XP,"2024 Extreme XP55, J-Track, 5 Pairs If Hooks, 12 Sliding Winches, Coil Pack, Nailers, 22.5LP Tires, Aluminum Wheels, 2 Toolboxes, Load Gauge",AVAILABLE,NEW,47600.00 USD,https://www.palmertrucks.com/truck-details/category-Trailer:-Flatbed/make-Extreme/model-XP/vin-7VGAA4826R1001262/,https://d8lxo54bt1xl7.cloudfront.net/prd/R1001262/068Ux00000MmtIZIAZ,Extreme,XP,2024,OTHER,MI,0,9704 E. 30th St.,Indianapolis,IN,46229,United States
R1001273,2024 Extreme XS,"2024 Extreme XS60, 53' Drop Deck Trailer,, J-Track, 10 Pairs If Hooks, 14 Sliding winches, Coil Pack, Nailers, 22.5LP Tires, Aluminum Wheels, Sliding Rear Axle, 2 Toolboxes, 1 Dunnage Rack, Load Gauge",AVAILABLE,NEW,62400.00 USD,https://www.palmertrucks.com/truck-details/category-Trailer:-Drop-Deck/make-Extreme/model-XS/vin-7VGAB5328R1001273/,https://d8lxo54bt1xl7.cloudfront.net/prd/R1001273/068Ux00000PSnsDIAT,Extreme,XS,2024,OTHER,MI,0,4330 Poplar Level Rd,Louisville,KY,40213,United States
R1001274,2024 Extreme XS,"2024 Extreme XS60, 53' Drop Deck Trailer, J-Track, 10 Pairs If Hooks, 14 Sliding winches, Coil Pack, Nailers, 22.5LP Tires, Aluminum Wheels, Sliding Rear Axle, 2 Toolboxes, 1 Dunnage Rack, Load Gauge",AVAILABLE,NEW,62400.00 USD,https://www.palmertrucks.com/truck-details/category-Trailer:-Drop-Deck/make-Extreme/model-XS/vin-7VGAB532XR1001274/,https://d8lxo54bt1xl7.cloudfront.net/prd/R1001274/068Ux00000L952oIAB,Extreme,XS,2024,OTHER,MI,0,7740 Center Point 70 Blvd.,Dayton,OH,45424,United States
R1001275,2024 Extreme XS,"2024 Extreme XS70, 53' Drop Deck Trailer, J-Track, 10 Pairs If Hooks, 14 Sliding winches, Coil Pack, Nailers, 22.5LP Tires, Aluminum Wheels, Sliding Rear Axle, 2 Toolboxes, 1 Dunnage Rack, Load Gauge",AVAILABLE,NEW,81999.00 USD,https://www.palmertrucks.com/truck-details/category-Trailer:-Drop-Deck/make-Extreme/model-XS/vin-7VGAB5330R1001275/,https://d8lxo54bt1xl7.cloudfront.net/prd/R1001275/068Ux00000MmtaJIAR,Extreme,XS,2024,OTHER,MI,0,9704 E. 30th St.,Indianapolis,IN,46229,United States
HN984447,2017 Volvo VHD,"2017 Volvo VHD, Quad Axle Dump, D13, Allison Auto",AVAILABLE,USED,89900.00 USD,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Volvo/model-VHD/vin-4V5KC9EH4HN984447/,https://d8lxo54bt1xl7.cloudfront.net/prd/HN984447/068Ux00000Q181PIAR,Volvo,VHD,2017,TRUCK,MI,580000,9704 E. 30th St.,Indianapolis,IN,46229,United States
208178,2026 Kenworth T880,"2026 Kenworth, T880 Day Cab, MX, 12 Speed AMT, Red",AVAILABLE,USED,175265.00 USD,https://www.palmertrucks.com/truck-details/category-Day-Cab/make-Kenworth/model-T880/vin-1XKZDP9X6TJ208178/,https://d8lxo54bt1xl7.cloudfront.net/prd/208178/068Ux00000PdjLRIAZ,Kenworth,T880,2026,TRUCK,MI,216,3535 Coliseum Blvd W,Fort Wayne,IN,46808,United States
RM004651,2024 Mack Granite,"2024 Mack Granite , Tri Axle Dump, 16' Steel Rowe",AVAILABLE,USED,209900.00 USD,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Mack/model-Granite/vin-1M2GR2NC9RM004651/,https://d8lxo54bt1xl7.cloudfront.net/prd/RM004651/068Ux00000NCTKRIA5,Mack,Granite,2024,TRUCK,MI,31345,2929 South Holt RD.,Indianapolis,IN,46241,United States
RM004647,2024 Mack Granite,"2024 Mack Granite , Tri Axle Dump, 16' Steel Rowe",AVAILABLE,USED,209900.00 USD,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Mack/model-Granite/vin-1M2GR2NC7RM004647/,https://d8lxo54bt1xl7.cloudfront.net/prd/RM004647/068Ux00000NiCoFIAV,Mack,Granite,2024,TRUCK,MI,33266,2929 South Holt RD.,Indianapolis,IN,46241,United States
RM004656,2024 Mack Granite,"2024 Mack Granite , Tri Axle Dump, 16' Steel Rowe",AVAILABLE,USED,209900.00 USD,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Mack/model-Granite/vin-1M2GR2NC8RM004656/,https://d8lxo54bt1xl7.cloudfront.net/prd/RM004656/068Ux00000NhzeAIAR,Mack,Granite,2024,TRUCK,MI,34434,7740 Center Point 70 Blvd.,Dayton,OH,45424,United States
RM004834,2024 Mack Granite,"2024 Mack Granite , Tri Axle Dump, 16' Steel Rowe",AVAILABLE,USED,209900.00 USD,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Mack/model-Granite/vin-1M2GR2NC6RM004834/,https://d8lxo54bt1xl7.cloudfront.net/prd/RM004834/068Ux00000NiMIxIAN,Mack,Granite,2024,TRUCK,MI,32229,2929 South Holt RD.,Indianapolis,IN,46241,United States
PJ233506,2023 Kenworth W990,"2023 Kenworth W990 ARI 156"" Custom Sleeper, MX13, 510hp, 13 Speed Manual",AVAILABLE,USED,189000.00 USD,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-W990/vin-1XK1DP9X8PJ233506/,https://d8lxo54bt1xl7.cloudfront.net/prd/PJ233506/068Ux00000MR50cIAD,Kenworth,W990,2023,TRUCK,MI,612806,7740 Center Point 70 Blvd.,Dayton,OH,45424,United States
LJ301272,2020 Kenworth T880,"2020 Kenworth ARI Custom Sleeper, X15, 605HP,  Fuller 13 Speed AMT",AVAILABLE,USED,169900.00 USD,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-T880/vin-1XKZD49X5LJ301272/,https://d8lxo54bt1xl7.cloudfront.net/prd/LJ301272/068Ux00000NUD4KIAX,Kenworth,T880,2020,TRUCK,MI,482000,3535 Coliseum Blvd W,Fort Wayne,IN,46808,United States
